Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1995","1995","100 g/ha","9938","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1996","1996","100 g/ha","9964","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1997","1997","100 g/ha","9943","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1998","1998","100 g/ha","10000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1999","1999","100 g/ha","10000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2000","2000","100 g/ha","10000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2001","2001","100 g/ha","9537","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2002","2002","100 g/ha","9337","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2003","2003","100 g/ha","9104","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2004","2004","100 g/ha","8834","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2005","2005","100 g/ha","8532","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2006","2006","100 g/ha","7767","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2007","2007","100 g/ha","7365","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2008","2008","100 g/ha","6942","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2009","2009","100 g/ha","6520","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2010","2010","100 g/ha","6108","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2011","2011","100 g/ha","5714","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2012","2012","100 g/ha","5000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2013","2013","100 g/ha","5000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2014","2014","100 g/ha","4697","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2015","2015","100 g/ha","4273","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2016","2016","100 g/ha","4481","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2017","2017","100 g/ha","4585","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2018","2018","100 g/ha","4441","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2019","2019","100 g/ha","4502","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2020","2020","100 g/ha","4509","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2021","2021","100 g/ha","4484","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1980","1980","100 g/ha","24511","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1981","1981","100 g/ha","35660","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1982","1982","100 g/ha","29791","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1983","1983","100 g/ha","34673","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1984","1984","100 g/ha","6364","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1985","1985","100 g/ha","9074","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1986","1986","100 g/ha","13486","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1987","1987","100 g/ha","7619","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1988","1988","100 g/ha","28493","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1989","1989","100 g/ha","77222","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1990","1990","100 g/ha","69661","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1991","1991","100 g/ha","16081","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1992","1992","100 g/ha","30698","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1993","1993","100 g/ha","28800","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1994","1994","100 g/ha","11573","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1995","1995","100 g/ha","12603","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1996","1996","100 g/ha","17937","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1997","1997","100 g/ha","17031","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1998","1998","100 g/ha","24918","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","1999","1999","100 g/ha","12131","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2000","2000","100 g/ha","15902","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2001","2001","100 g/ha","15000","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2002","2002","100 g/ha","20000","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2003","2003","100 g/ha","21579","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2004","2004","100 g/ha","15000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2005","2005","100 g/ha","14365","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2006","2006","100 g/ha","15047","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2007","2007","100 g/ha","15475","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2008","2008","100 g/ha","15134","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2009","2009","100 g/ha","14794","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2010","2010","100 g/ha","14453","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2011","2011","100 g/ha","14121","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2012","2012","100 g/ha","14122","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2013","2013","100 g/ha","14124","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2014","2014","100 g/ha","14247","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2015","2015","100 g/ha","14349","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2016","2016","100 g/ha","14232","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2017","2017","100 g/ha","14274","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2018","2018","100 g/ha","14284","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2019","2019","100 g/ha","14263","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2020","2020","100 g/ha","14274","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01371","Almonds, in shell","2021","2021","100 g/ha","14273","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1961","1961","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1962","1962","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1963","1963","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1964","1964","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1965","1965","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1966","1966","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1967","1967","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1968","1968","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1969","1969","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1970","1970","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1971","1971","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1972","1972","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1973","1973","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1974","1974","100 g/ha","40000","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1975","1975","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1976","1976","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1977","1977","100 g/ha","41511","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1978","1978","100 g/ha","41429","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1979","1979","100 g/ha","40000","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1980","1980","100 g/ha","67850","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1981","1981","100 g/ha","69040","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1982","1982","100 g/ha","77369","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1983","1983","100 g/ha","77954","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1984","1984","100 g/ha","91265","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1985","1985","100 g/ha","114015","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1986","1986","100 g/ha","102228","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1987","1987","100 g/ha","81625","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1988","1988","100 g/ha","93264","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1989","1989","100 g/ha","94324","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1990","1990","100 g/ha","95376","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","100 g/ha","85228","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","100 g/ha","84643","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","100 g/ha","81363","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1994","1994","100 g/ha","84478","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1995","1995","100 g/ha","84364","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1996","1996","100 g/ha","73121","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1997","1997","100 g/ha","91282","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1998","1998","100 g/ha","91429","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1999","1999","100 g/ha","91429","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","100 g/ha","91429","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","100 g/ha","92857","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","100 g/ha","92857","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","100 g/ha","81839","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","100 g/ha","82193","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","100 g/ha","81575","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2006","2006","100 g/ha","77598","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2007","2007","100 g/ha","77492","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2008","2008","100 g/ha","78181","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2009","2009","100 g/ha","80032","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2010","2010","100 g/ha","79840","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2011","2011","100 g/ha","87857","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2012","2012","100 g/ha","91461","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2013","2013","100 g/ha","99643","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2014","2014","100 g/ha","94822","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","100 g/ha","106505","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","100 g/ha","114028","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","100 g/ha","174934","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","100 g/ha","164995","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","100 g/ha","141646","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","100 g/ha","158132","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","100 g/ha","155407","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1961","1961","100 g/ha","102091","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1962","1962","100 g/ha","111691","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1963","1963","100 g/ha","115303","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1964","1964","100 g/ha","117274","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1965","1965","100 g/ha","117568","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1966","1966","100 g/ha","118268","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1967","1967","100 g/ha","102878","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1968","1968","100 g/ha","105343","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1969","1969","100 g/ha","94958","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1970","1970","100 g/ha","92973","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1971","1971","100 g/ha","105043","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1972","1972","100 g/ha","76012","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1973","1973","100 g/ha","56925","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1974","1974","100 g/ha","66617","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1975","1975","100 g/ha","60457","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1976","1976","100 g/ha","96016","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1977","1977","100 g/ha","46620","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1978","1978","100 g/ha","66070","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1979","1979","100 g/ha","67816","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1980","1980","100 g/ha","55270","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1981","1981","100 g/ha","69455","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1982","1982","100 g/ha","72503","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1983","1983","100 g/ha","64726","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1984","1984","100 g/ha","85595","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1985","1985","100 g/ha","81014","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1986","1986","100 g/ha","87371","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1987","1987","100 g/ha","100361","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1988","1988","100 g/ha","86117","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1989","1989","100 g/ha","88154","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1990","1990","100 g/ha","79054","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1991","1991","100 g/ha","90887","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1992","1992","100 g/ha","99089","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1993","1993","100 g/ha","80973","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1994","1994","100 g/ha","79337","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1995","1995","100 g/ha","67365","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1996","1996","100 g/ha","70918","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1997","1997","100 g/ha","100673","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1998","1998","100 g/ha","63031","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","1999","1999","100 g/ha","69775","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","2000","2000","100 g/ha","61765","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","2001","2001","100 g/ha","72573","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","2002","2002","100 g/ha","78771","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","2003","2003","100 g/ha","90746","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","2004","2004","100 g/ha","96947","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","2005","2005","100 g/ha","98079","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","2006","2006","100 g/ha","104179","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01341","Apples","2007","2007","100 g/ha","90077","A","Official figure"
